Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,0.95,0.91125253748573
2,0.8999999999999999,0.8727034621522601
3,0.95,0.9478561221428368
4,1.0,0.9742836958644859
5,1.05,1.0388026834240625
6,1.1,1.1318794603707856
7,1.1500000000000001,1.1074589714595635
8,1.2000000000000002,1.242309949290486
9,1.2500000000000002,1.2224975999068557
10,1.3000000000000003,1.3206300161265616
11,1.3500000000000003,1.3110629295512535
12,1.3000000000000003,1.310096376954376
13,1.2500000000000002,1.240683001202941
14,1.2000000000000002,1.2336752794266495
15,1.1500000000000001,1.1250108537458736
16,1.1,1.095775546838039
17,1.05,1.0557409096707517
18,1.0,0.9752028104460903
19,0.95,0.9110305050106225
20,0.8999999999999999,0.9226562180605924
