Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,0.95,0.9139218298982681
2,0.8999999999999999,0.8958721153264455
3,0.8499999999999999,0.8873794494713609
4,0.7999999999999998,0.7758527449192352
5,0.7499999999999998,0.7664789893562324
6,0.6999999999999997,0.736260272149919
7,0.6499999999999997,0.6148922214320065
8,0.5999999999999996,0.606292415408193
9,0.5499999999999996,0.5159231288711232
10,0.4999999999999996,0.46729728878161625
11,0.4499999999999996,0.41040844815511635
12,0.39999999999999963,0.3703017672714834
13,0.34999999999999964,0.3455207811069503
14,0.29999999999999966,0.329449478499257
15,0.24999999999999967,0.2990815239001083
16,0.19999999999999968,0.2304937409736071
17,0.1499999999999997,0.1377463397028404
18,0.09999999999999969,0.10157308773073556
19,0.049999999999999684,0.005893968411070927
20,-3.191891195797325e-16,0.021102342336131067
