Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,1.05,1.0971443300444177
2,1.1,1.0885422149179589
3,1.1500000000000001,1.1954455208305532
4,1.2000000000000002,1.1945780687400565
5,1.2500000000000002,1.2669662098880687
6,1.3000000000000003,1.258255273233326
7,1.3500000000000003,1.3897037473762237
8,1.4000000000000004,1.3798073912911015
9,1.4500000000000004,1.4262381466097616
10,1.5000000000000004,1.4505133760162976
11,1.5500000000000005,1.5543184655206537
12,1.6000000000000005,1.5975606507183824
13,1.6500000000000006,1.663632109858226
14,1.7000000000000006,1.747818713402257
15,1.7500000000000007,1.7908606217884486
16,1.8000000000000007,1.8410097163758856
17,1.8500000000000008,1.852524517867125
18,1.9000000000000008,1.8604080468942725
19,1.9500000000000008,1.9180993399635804
20,2.000000000000001,2.045300641669126
