Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,0.95,0.9127183535495798
2,0.8999999999999999,0.9247187031643233
3,0.8499999999999999,0.8005242254381683
4,0.7999999999999998,0.8356717638769359
5,0.7499999999999998,0.7695887110347815
6,0.6999999999999997,0.7053003866655518
7,0.6499999999999997,0.6935191847887008
8,0.5999999999999996,0.6012618275259817
9,0.5499999999999996,0.5177690547911262
10,0.4999999999999996,0.5036850520878601
11,0.5499999999999996,0.5293531175669702
12,0.5999999999999996,0.5510610612887177
13,0.6499999999999997,0.6883735016587362
14,0.6999999999999997,0.7156351871490743
15,0.7499999999999998,0.794221585524079
16,0.7999999999999998,0.8244867743826183
17,0.7499999999999998,0.7267286402170297
18,0.6999999999999997,0.6861916025390189
19,0.6499999999999997,0.6526392918719747
20,0.5999999999999996,0.6046865614538063
