Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,1.05,1.0037137892825123
2,1.1,1.0582040279872842
3,1.1500000000000001,1.1213520125147243
4,1.2000000000000002,1.204521057926981
5,1.2500000000000002,1.2655007968808816
6,1.3000000000000003,1.3088752099860006
7,1.3500000000000003,1.3574953057502062
8,1.4000000000000004,1.3834746651873697
9,1.4500000000000004,1.438061934594959
10,1.5000000000000004,1.4901680075564914
11,1.5500000000000005,1.5679259741577867
12,1.6000000000000005,1.564625002576408
13,1.6500000000000006,1.6788704037448654
14,1.7000000000000006,1.6537454840641488
15,1.7500000000000007,1.7613585501597548
16,1.8000000000000007,1.7652142601555758
17,1.8500000000000008,1.8771797271280455
18,1.9000000000000008,1.8763195573308613
19,1.9500000000000008,1.9771889446588145
20,2.000000000000001,1.978752489061815
