Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,0.95,0.9082126971751139
2,0.8999999999999999,0.872300556881177
3,0.95,0.9479299694834284
4,1.0,0.9740613644413674
5,1.05,1.0391061080479405
6,1.1,1.1330179259146558
7,1.1500000000000001,1.1027747234231933
8,1.2000000000000002,1.2468782861382426
9,1.2500000000000002,1.2220686736761572
10,1.3000000000000003,1.3204700486656793
11,1.3500000000000003,1.3079528021519102
12,1.3000000000000003,1.309808200430571
13,1.2500000000000002,1.2409575743997487
14,1.2000000000000002,1.2352045171037662
15,1.1500000000000001,1.124860826782662
16,1.1,1.0959177040112968
17,1.05,1.055552944801002
18,1.0,0.9750707968248972
19,0.95,0.9079082443495377
20,0.8999999999999999,0.9226157634841098
