Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,0.95,0.9301870419160349
2,0.8999999999999999,0.8485534413515372
3,0.8499999999999999,0.837542236131228
4,0.7999999999999998,0.7762078064824061
5,0.7499999999999998,0.8081627148783646
6,0.7999999999999998,0.789812768060065
7,0.8499999999999999,0.8309810499161784
8,0.7999999999999998,0.7716396441858926
9,0.7499999999999998,0.7494234754801893
10,0.6999999999999997,0.6502000883528269
11,0.7499999999999998,0.7291170647916981
12,0.7999999999999998,0.7731955806573028
13,0.8499999999999999,0.9032974927758174
14,0.8999999999999999,0.9112554505214228
15,0.95,0.9884644528108263
16,1.0,0.955068101768038
17,1.05,1.0130198341598873
18,1.1,1.1169717106024422
19,1.1500000000000001,1.2060267411614696
20,1.2000000000000002,1.1443719556208813
