Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,1.05,1.1046863022892508
2,1.1,1.0888485150044913
3,1.1500000000000001,1.2017986279692805
4,1.2000000000000002,1.1947567537837094
5,1.2500000000000002,1.2666806680086562
6,1.3000000000000003,1.2539611079030777
7,1.3500000000000003,1.3931098745069805
8,1.4000000000000004,1.3799881308964415
9,1.4500000000000004,1.4261958794906089
10,1.5000000000000004,1.4410046765247764
11,1.5500000000000005,1.5541733531320345
12,1.6000000000000005,1.5976444779596215
13,1.6500000000000006,1.6633140671116173
14,1.7000000000000006,1.7558845603047137
15,1.7500000000000007,1.794751295326466
16,1.8000000000000007,1.8449663448148828
17,1.8500000000000008,1.8524378277681361
18,1.9000000000000008,1.8570462858974361
19,1.9500000000000008,1.9169566335481867
20,2.000000000000001,2.051560290855837
