Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,1.05,0.9967945013589333
2,1.1,1.0538855405233627
3,1.1500000000000001,1.1207670764592552
4,1.2000000000000002,1.2043696245152142
5,1.2500000000000002,1.2651925744493169
6,1.3000000000000003,1.3086092968669023
7,1.3500000000000003,1.3572604302409785
8,1.4000000000000004,1.38376852246428
9,1.4500000000000004,1.43837275629263
10,1.5000000000000004,1.4904518177746098
11,1.5500000000000005,1.5676632532777863
12,1.6000000000000005,1.5626621529502795
13,1.6500000000000006,1.6794879090835242
14,1.7000000000000006,1.6468483047455236
15,1.7500000000000007,1.7610533111415434
16,1.8000000000000007,1.7634092435186197
17,1.8500000000000008,1.8775681317276067
18,1.9000000000000008,1.8762838319843715
19,1.9500000000000008,1.9775784866021562
20,2.000000000000001,1.9788801898949322
