Tick,UnderlyingPrice,ObservedPrice
0,10.0,10.0
1,9.5,8.952576424901316
2,9.0,8.940310837216659
3,8.5,9.069387252038347
4,8.0,7.643672128175405
5,7.5,7.740430953305201
6,7.0,7.550481165146168
7,6.5,5.968785087674133
8,6.0,6.091059595177033
9,5.5,4.985853712274315
10,5.0,4.50837682329392
11,4.5,3.892630034182729
12,4.0,3.5567878404454407
13,3.5,3.4352237494710702
14,3.0,3.4392514996759065
15,2.5,3.281874424434096
16,2.0,2.4559252087834103
17,1.5,1.321985570664041
18,1.0,1.022735343515116
19,0.5,-0.18777191921919645
20,0.0,0.3098228548636425
