Tick,UnderlyingPrice,ObservedPrice
0,1,1
1,0.95,0.9101852297275687
2,0.8999999999999999,0.9248434779572423
3,0.8499999999999999,0.7910256527982652
4,0.7999999999999998,0.8377172661023806
5,0.7499999999999998,0.7693820272998932
6,0.6999999999999997,0.7051252910481518
7,0.6499999999999997,0.698719980422047
8,0.5999999999999996,0.6012181361562098
9,0.5499999999999996,0.5165591659365217
10,0.4999999999999996,0.5035601022800769
11,0.5499999999999996,0.529512249925426
12,0.5999999999999996,0.5420509030820723
13,0.6499999999999997,0.6912779895217055
14,0.6999999999999997,0.7153284672059218
15,0.7499999999999998,0.7998206982581039
16,0.7999999999999998,0.8245905822882055
17,0.7499999999999998,0.7267246873795319
18,0.6999999999999997,0.6865095584162653
19,0.6499999999999997,0.6525487542213779
20,0.5999999999999996,0.6045300139326805
